site;code;codereg;nomreg;nom;longitude;latitude;eeprot;eea;eeprev;eecwns;eensp;eet;eetow;eiir;ehe;ehns;rcm_collected;rcm_distributed;pcrcmphc;pcnpitm;pcnpoiflw;pcprwtf;pcprwtfowu;pcumcsbhbi;pcptr;pchrtr;pcpltccp;pcptwtdwi;rcmcoll;acesces;acesfc;acesehi;acespi;acesc;acesv;aceswst;acphcs;acpacp;acpc;acpi;acwwha;apppdotf;appfc;appehi;appwha;ppdv;ppdvami;ppdvamiw;ppdvamim;ppdnr;ppdnrw;ppdnrm;ppnovco;ppnopdv;pprcmcoll;pprcmdist;pppcmtit;ppdvbtrwi;ppdratvi;ppptwadawi;awwhs;awwhswpd;awwa;awwaow;awwfps;awwfpswpd;awwapt;awwcs;awwprs;awwnpfwp;awwnpfwo;awwpd;awwod;awwnprp
DHA;DEL_BD;ASIA;Asia and the Pacific;Bangladesh;90.40594548;23.75833931;514;514;1301;320;-;2649;162;88;8;29;32;28;2;-;-;2;-;-;2;-;7;-;32;589;-;-;-;589;-;-;0;0;0;0;0;1000;-;1000;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;389;35;354;35;649;-
DEL;REG_DEL;ASIA;Asia and the Pacific;New Delhi (regional);77.24077471;28.60405532;2688;5103;2296;1322;-;11409;696;90;25;184;0;-;-;-;-;-;-;-;-;-;1;290;-;2191;1272;2191;1734.9;1278;-;336.59;4;37519;36457;46;8778;0;0;0;0;615;589;6;8;273;3;7;31;23;76;2;10;144;-;1;0;0;0;0;0;0;0;5;1240;144;178;206;269;758
BEJ;REG_BEJ;ASIA;Asia and the Pacific;Beijing (regional);116.1221902;40.22111299;840;4126;3041;1094;-;9101;555;89;19;38;0;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;150;-;-;-;-;4;982;325;18;774;31;747
SUV;REG_SUV;ASIA;Asia and the Pacific;Suva (regional);178.4569827;-18.12029302;1082;939;2284;1166;-;5470;334;121;9;19;58;58;-;-;-;-;-;-;-;-;-;-;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1514;31;-;-;1;-;-;28;20;58;56;-;21;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DJA;REG_DJA;ASIA;Asia and the Pacific;Jakarta (regional);106.804692;-6.245501044;1446;229;2063;691;-;4429;270;102;10;50;19;19;49;150;-;-;-;-;-;-;13;1;19;1482;-;-;-;1482;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
KUA;REG_KUA;ASIA;Asia and the Pacific;Kuala Lumpur (regional);101.6656014;3.152893276;1376;-;2067;611;-;4054;247;95;11;24;39;94;-;-;-;-;-;-;-;-;-;-;39;0;0;0;0;0;0;0;0;0;0;0;70;0;0;0;0;8487;293;5;142;292;5;142;24;17;143;28;165;-;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0
KAB;DEL_AF;ASIA;Asia and the Pacific;Afghanistan;69.167669;34.537375;12547;66957;4492;2296;-;86292;5267;88;8;29;10603;18328;7433;-;-;-;-;-;-;1172;2405;-;10603;431036;379155;151028;431036;14171.27;-;12120;50;671145;597980;331834;327199;49255;-;49255;17202;33165;4055;8;182;1766;3;102;378;109;15509;10338;1780;3359;2;17;35;2;44413;2791;1;2791;1;8;80528;1136;4939;4046;10754;53408
KAT;DEL_NP;ASIA;Asia and the Pacific;Nepal;85.34005299;27.68586521;1046;1261;1123;438;-;3868;236;88;8;68;4;60;-;1401;1401;-;-;-;-;-;63;27;4;5718;-;5718;-;699;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;2;42;39;10;39;10;2;1303;134;79;150;108;223
ISL;DEL_PK;ASIA;Asia and the Pacific;Pakistan;73.09356725;33.71603933;2842;17558;4820;2192;-;27413;1666;94;57;817;453;572;319;-;-;-;-;-;-;-;17;6;453;34111;29610;20958;34111;84;-;196231;12;90908;89296.17;26433;99837;3658;-;-;3658;40;40;-;17;23;-;17;4;4;19;5;15;-;-;-;7;7;8305;822;-;822;-;4;9257;1334;1266;1682;2092;4535
YAN;DEL_MM;ASIA;Asia and the Pacific;Myanmar;96.155114;16.833057;1449;2068;745;1041;-;5302;324;108;9;101;0;-;-;-;-;-;-;12;-;-;30;-;-;0;0;0;0;0;0;0;0;0;0;0;23193;1945;-;-;1945;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;4716;589;495;1618;1095;971
MAN;DEL_PH;ASIA;Asia and the Pacific;Philippines;121.0152972;14.55554724;3374;9967;2033;856;-;16230;991;124;31;169;2;2;-;-;-;-;-;-;-;-;10;-;2;238194;214938;238194;96842;1;-;3980;0;0;0;0;45876;22276;-;22276;6176;90485;790;40;6;165;15;5;402;175;1;-;-;348;-;-;21;16;240438;1398;-;1398;-;1;207;36;9;75;8;142
BAN;REG_BAN;ASIA;Asia and the Pacific;Bangkok (regional);100.5527858;13.73919377;5251;3124;2767;1019;-;12160;742;101;42;105;0;1;-;-;-;-;-;-;-;-;-;2;-;0;0;0;0;0;0;0;0;0;0;0;0;22148;-;-;22148;36411;504;10;-;164;3;-;101;58;420;55;28;146;-;1;0;0;0;0;0;0;0;3;11425;129;245;1684;1386;3197
BAK;DEL_AZ;EURAM;Europe and the Americas;Azerbaijan;49.8459;40.39969;1796.99084;4469.95461;668.45215;277.87423;-;7213.27183;440.24668;98;11;54;26;31;57;-;-;-;-;-;-;-;1;44;26;7031;815;1021.7;7031;2908;-;5;0;0;0;0;4474;-;-;111.3;-;72;72;1;3;49;-;-;37;16;37;35;30;-;-;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
